Date_Range,Event,embed_link,Drive_Link,Sketch_ID,tag1,tag2,tag3
6-7-19,Familiarizing myself with Arbor Workflows,https://docs.google.com/document/d/e/2PACX-1vS93PaMF15hkxguLvGUQWXSWTU9Qg-McVOGlckmXm2Q-tSjryIk1XY404wVxzkQfYOasbTfP37B_V-Y/pub?embedded=true,https://drive.google.com/open?id=1BUnjkyo1p0fEQfchYcuiwSD8USkkwMoejBe6EknrXcg,null,domain,,
6-10-19,Multinet Tech Meeting,https://docs.google.com/document/d/e/2PACX-1vSuguwD9FIuLrbocVlPDqN9fbmtyI6od-JQ0GQr76nd5JseGo2MlPP1N2UpVlxp48jhrJe66NkEaQ4n/pub?embedded=true,https://drive.google.com/open?id=1XDNn6thxyKS-ocer1rzlFA543Oaub4BhModeetYPo9o,null,meeting/assesment,,
6-10-19,Sketchbook,null,null,610,sketch,brainstorm,
6-12-19,Second Meeting with Austin,https://docs.google.com/document/d/e/2PACX-1vRIzj_A1GxcO8pdJev_9LJzbWomwMm4fg8GOLqxtyWCiFgu4MiTphfcUmK0YEVr0IEI4yhTjL-75F1q/pub?embedded=true,https://drive.google.com/open?id=1w7tCBBnGNl0Zyc11NsgHNUzSXukqJoF5e_BiSoD5n0U,null,interview,,
6-13-19,Taking Notes on Ancestral State Reconstruction,https://docs.google.com/document/d/e/2PACX-1vTih6OYmWFI0Z7wFImts8IVlwDABqxtnyhL-iKLLK3n4T1u5l0Jw-Hw_t_YE6VbknVzocAbzfxCXbD3/pub?embedded=true,https://drive.google.com/open?id=1V1YiV3uttmLNer67f9avvjpEan9rFfSaBQTc0D2CbEw,null,domain,,
6-13-19,Sketchbook,null,null,613,sketch,brainstorm,
6-14-19,Second Meeting with Hector,https://docs.google.com/document/d/e/2PACX-1vRXUbYWeBKbZXWfpF_1fm4ktTWX5iGIKELqKgjlvn6yNILBxSWePYpbz5CB58hadMQ4vfI7rQUJ6LYq/pub?embedded=true,https://drive.google.com/open?id=1mkg2QMYs5hRDwqtPOSiCqIdPnBU-7QLlH59rG3x6v7E,null,interview,domain feedback,
6-18-19,Created Illustrator Mockups,null,null,,,,
6-18-19,Meeting with Alex,https://docs.google.com/document/d/e/2PACX-1vTaWgt7auGVq4vGkAJMVN8d5BoyZPSRtbpyMziPEKu6yAxDBRn9vlWF4UY1Pvjlk-udSrt-rkwjgz5A/pub?embedded=true,https://drive.google.com/open?id=1O2zleJggoOQwtPoPh_sllkMJgRnNRY6TGYVSRdlDw8o,null,meeting/assesment,,
6-21-19,Update on Path Design ,null,null,mockup-621,sketch,mockup,
7-5-19,Sketchbook,null,null,705,sketch,brainstorm,
7-9-19,Sketchbook,null,null,709,sketch,brainstorm,
7-16-19,Meeting with Alex,https://docs.google.com/document/d/e/2PACX-1vTmnh6e02FxI5uP7XWfYQM6enhp0wXfqv-0DZeVEXGJ20eSEYSlWdiCxqGbxKx7QvkGFYSKi0AVU-BM/pub?embedded=true,https://drive.google.com/open?id=13W4jlH9kbzytetqBa9yyp-iuX96yWiD5gKYp8QImCw8,null,meeting/assesment,,
7-16-19,Sketchbook,null,null,716,sketch,brainstorm,
7-17-19,Third Meeting with Austin,https://docs.google.com/document/d/e/2PACX-1vRuY3wQ6ZNK_0cMWdZZE5NShWGy2u-VnpxJNVnCAICcKEhYfGM8Q3RJoZGtTLLFAfmLL0jmeoazzVr7/pub?embedded=tru,https://drive.google.com/open?id=1i3xp4Yuqj9kGYHguLh1V4j4eD_rRrBd3l8nIikxRB-c,null,domain,,
7-22-19,Update of Sidebar Tree,null,null,view-722,view,design,iteration
7-23-19,Meeting with Luke,https://docs.google.com/document/d/e/2PACX-1vSHyYzRVdfIugYFT3is0xgN04dGR4GF4HVv8S1WAxZXUNzxzq8yso8PGghlgPglej6QQvijJnEqV7d2/pub?embedded=true,https://drive.google.com/open?id=1gcSln3J_KnTelW-YikR9qgJEAW7emIzvZRm8VyX5MUc,null,domain,,
7-25-19,Development of Summary View,null,null,view-725B,view,design ,iteration
7-25-19,Update on sort functionality,null,null,view-725,view,functionality ,
7-29-19,Sketchbook,null,null,729,sketch,,
7-30-19,Sketchbook,null,null,730,sketch,,
7-31-19,Sketchbook,null,null,731,sketch,,
8-7-19,Assesement of Development and Requirements,https://docs.google.com/document/d/e/2PACX-1vTjxMi7oIzD0JgOkNNqWWytbcK6Fs0EJueHZOwEq12rMdFw1n_KU_2bZRNgBUKOkzJR_QmDqts0s_Kk/pub?embedded=true,https://drive.google.com/open?id=1azshy7pwt0sfBn8nbFlisezLPlCyMysUvZZvAXMLyfo,null,brainstorm,,
8-8-19,Update of Summary View,null,null,view-808,view,design,iteration
8-8-19,Notes:List of relevant vis,https://docs.google.com/document/d/e/2PACX-1vQ-PVe6Q76hPoJwI2zE1Xd9VYYx33jtF95vVdS47jczCrkrQukTe_dz9UPJO8UI4cL7qMGztB9ckWNx/pub?embedded=true,https://docs.google.com/document/d/1LQ1k7yGkITcrDQMgg7yMQ5v6i19rS6M8x9wJvCAO10Q/edit?usp=sharing,null,brainstorm,,
8-15-19,Sketchbook,null,null,815,sketch,,
8-20-19,Meeting with Alex and Miriah,https://docs.google.com/document/d/e/2PACX-1vSuCulu_eFfVd0lE6w_tnYVVAsq2j6ppTVQRFaIfnU7l9sGYtYkVueNAqMD8mzQON9oC-EkLuttPpy_/pub?embedded=true,https://drive.google.com/open?id=1JkN6DvnHuO6iYSyCOpdoqoltxfyaVmdulkWoNqjQAiE,null,meeting/assesment,,
8-22-19,Re-revisit Requirements,https://docs.google.com/document/d/e/2PACX-1vSjn63byhmwc-oIAQaFJVHTDfdOwXUSiGvZ4rviO4YRPeRrjjWy4kPwINAElewUaj-8u_L2qBvqoM3E/pub?embedded=true,https://docs.google.com/document/d/1POBCPCq4Wd3mCU6Kc3kCM_8f2J5bEA6j1PvRnJLLVNg/edit?usp=sharing,null,domain,,
8-23-19,Sketchbook,null,null,823,sketch,,
8-26-19,sketchbook,null,null,826,sketch,,
8-28-19,Meeting with Luke,https://docs.google.com/document/d/e/2PACX-1vSkHLO1lel7iNSFDHxSFQDszMKD6S1S_CX_6GDnETYnSuooyT8OHktE8YUerR7C6SmTLi5MsEC6lCDA/pub?embedded=true,https://drive.google.com/open?id=1jaM6MeVjKVAU4n0syZjqVdNLlyZJDZSFeJ9Lris6v2A,null,domain,pivot,
8-30-19,Sketchbook,null,null,830,sketch,,
9-2-19,Second Meeting with Megan,null,null,,domain,,
9-3-19,Sketchbook,null,null,903,sketch,,
9-4-19,Sketchbook,null,null,904,sketch,,
9-6-19,Meeting with Alex and Miriah Go Over Process,null,keynote,process,presentation,meeting/assesment,
9-13-19,Meeting with Alex and Miriah Go Over Process,,keynote,process,presentation,meeting/assesment,
9-19-19,Breaking Down the Domain Problem Notes,https://docs.google.com/document/d/e/2PACX-1vSItH11RVSFb3KyQKm7X0Wr7j1sh7BgjWjxoTe9jdcNAvxPcxkWurbVWyNj9hu5pesvwYz_LgseuWf6/pub?embedded=true,https://docs.google.com/document/d/1hysqIomZWDtNGCCIPsw-62Wj5VuTM9zQloiIoQOmb9Q/edit?usp=sharing,null,domain,analysis,
10-4-19,Meeting with Alex and Miriah,https://docs.google.com/document/d/e/2PACX-1vTmhRDhaNHwjbPpM-_LFPd6pBYnQI0YDAqItG9FmIornZKH2GHAPz7G6L9gI0imyoVupt5bhoQTA0u2/pub?embedded=true,https://docs.google.com/document/d/1BRsEtgopjhlhakeWJwbaxrKua0iFwx2ZCwC5PRKgVD8/edit?usp=sharing,null,meeting/assesment,abstraction,
10-18-19,Meeting with Luke to Talk about Convergence,https://docs.google.com/document/d/e/2PACX-1vQBC30U8Zw12FvRI1PvOpLlf8ZOKC4nq9NxveLH64fbwrCy3r2iTK_7IMTlvg4TZhK8rSUDgPgXEdTQ/pub?embedded=true,https://drive.google.com/open?id=1-D27IjjHpUXJtsR6QWz_pwu7dlnFdMTcEgsIop0UzNY,null,domain,clarification,
10-18-19,Showed Austin the group functionality to identify convergence,null,null,group-view,view,pivot,
10-18-19,Meeting with Austin at U of I,https://docs.google.com/document/d/e/2PACX-1vQCPp3Sd8b0nOW_cxbmSX4z4BamTqTjqyqH-L6RXUVX5PyRj8qFeQW9EQF3m3owEkZHWNC2FytKXl6l/pub?embedded=true,https://docs.google.com/document/d/16Zz5V8qwpioB582QSTjYfHqSY8Be3MNhsE5imhS40R8/edit?usp=sharing,null,meeting/assesment,brainstorming,pivot
10-18-19,Whiteboard Sketch from Discussion,null,null,1018-photo,sketch,brainstorming,from collaborator
10-21-19,Sketchbook,null,null,1021,sketch,brainstorming,
10-31-19,Update of Ranked View,null,null,pheno-example,moving-update,iteration,functionality
11-01-19,Sketchbook,null,null,1101,sketch,brainstorming,
11-04-19,Meeting with Luke and Alex,null,null,null,meeting/assesment,clarification,
11-08-19,Changed Discrete Summary,null,null,view-1108,view,iteration,
11-08-19,Meeting with Alex and Miriah,https://docs.google.com/document/d/e/2PACX-1vTcpoPWjlujmLqFOAWnQNQkFqPUfxo94ZkM75MrLlCIUY-nnBrR7z8ftqtD4PjvxfnsOdsQr81fjjph/pub?embedded=true,https://docs.google.com/document/d/1HlSERPWpAUZ66qXOPfqKMCjdfQTTGeXY_33IXk5260c/edit?usp=sharing,null,meeting/assesment,storyline,contribution
11-12-19,Comparison View,null,null,view-1112,view,iteration,
